category,model,accuracy,f1,precision,recall,roc_auc,training_seconds,inference_seconds
Electronics,Logistic Regression,0.6620305980528511,0.4712117745748494,0.574859287054409,0.4840148865572594,0.6996594406378485,0.7169499397277832,0.0009996891021728516
Electronics,SVM,0.6342141863699583,0.40784786540253193,0.42292057535959976,0.4369921980091471,0.6858077635348029,0.8053562641143799,0.012503862380981445
Electronics,Random Forest,0.5521557719054242,0.4541114474907621,0.4567272787311583,0.4520491435745673,0.648655637460609,1.7710788249969482,0.07054567337036133
Electronics,Stacking,0.6592489568845619,0.44567734626214167,0.4326771336553945,0.4776387767913192,0.7154410232831738,15.114313125610352,0.06039857864379883
Beauty_and_Personal_Care,Logistic Regression,0.6228172293364377,0.409138264730228,0.475372381110086,0.42309066381355537,0.6960977821581867,0.7310874462127686,0.0010001659393310547
Beauty_and_Personal_Care,SVM,0.6228172293364377,0.3582593764481574,0.513727508283452,0.3910427811632631,0.6738094914138647,1.4472944736480713,0.011505126953125
Beauty_and_Personal_Care,Random Forest,0.5448195576251456,0.42244068091074266,0.42640917174391363,0.421553705168163,0.6123798322277468,2.5605406761169434,0.07054305076599121
Beauty_and_Personal_Care,Stacking,0.6379511059371362,0.4007908086740602,0.5150127871832266,0.4284172985377805,0.7061477326000615,21.15870690345764,0.08174824714660645
Video_Games,Logistic Regression,0.6346153846153846,0.4597537878787879,0.50549571510341,0.47690559900504653,0.6869251229043796,0.5355908870697021,0.0010018348693847656
Video_Games,SVM,0.6405325443786982,0.43247269715370223,0.4153605015673982,0.4636913730836383,0.6756324146391149,0.8428025245666504,0.011507987976074219
Video_Games,Random Forest,0.5399408284023669,0.4359283216021485,0.4372834375614237,0.4347827126832651,0.6289399727278844,2.1384546756744385,0.07230186462402344
Video_Games,Stacking,0.6346153846153846,0.43299463401861854,0.4062767925635125,0.468034727703236,0.6963119235836007,17.510106801986694,0.08328843116760254
Amazon_Fashion,Logistic Regression,0.6906158357771262,0.4922750658435797,0.5535202661416254,0.509540429860455,0.7424683626961972,0.35349273681640625,0.0010001659393310547
Amazon_Fashion,SVM,0.6818181818181818,0.458289241622575,0.4413493439499989,0.4871922821024617,0.7296557543584618,0.4579153060913086,0.008631706237792969
Amazon_Fashion,Random Forest,0.5762463343108505,0.4481265901007405,0.44850516296870896,0.449993178385761,0.651209841859738,1.0345573425292969,0.0704493522644043
Amazon_Fashion,Stacking,0.6964809384164223,0.4795918806175547,0.4506969975490196,0.5154054635826387,0.7633979212217623,9.632507085800171,0.08038473129272461
Books,Logistic Regression,0.6032953105196451,0.44731289637865285,0.5215861601747006,0.4474004180810463,0.697733056486709,0.8475894927978516,0.0010008811950683594
Books,SVM,0.5931558935361216,0.3758995234283203,0.5089974663735749,0.4021067937298304,0.6828780610668236,2.399099588394165,0.013007640838623047
Books,Random Forest,0.5373891001267427,0.4540936501764155,0.46063418915953475,0.44985939017352633,0.6606950309417661,4.12512731552124,0.07055115699768066
Books,Stacking,0.6083650190114068,0.4180397061309422,0.5257598567870965,0.4379118263935018,0.7033332610112722,31.238675355911255,0.08506441116333008
